,Question,option a,option b,option c,option d,Answer,Explanation,Tag,Difficulty
28,Four charges are kept at the corner points of a square The net force on a charge kept at the center of the square is _________,Along diagonal,Zero,Along one side,Depends on the nature of the charges,D,Depending on the nature and quantity of charges the net force on the central charge may vary its magnitude and direction. If all the charges are the same the net force will be zero.,Physics,29
29,Which among the following is false?,Coulomb force is a central force,The force between two charges depend on the medium between them,Coulomb force is a weak force,The net force on a charge is the vector sum of the forces acting on it due to several other charges,C,Coulomb force is a strong force. It can be shown that the Coulomb force between two electrons is 10,Physics,30
30,The amount of force exerted on a unit positive charge in an electric field is known as _____,Electric field intensity,Electric flux,Electric potential,Electric lines of force,A,The zone near a charge where its attraction or repulsion force works is known as the electric field of that charge. Theoretically it is up to infinite but practically it has limitations. If a unit positive charge is kept in that field it will undergo some force which is known as electric field intensity at that point.,Physics,31
31,The direction of electric field created by a negative charge is ___________,Directed outwards,Directed towards the charge,Maybe outwards or towards the charge,Circular in shape,B,If a unit positive charge is kept near a negative charge the unit positive charge will be attracted towards the negative charge. That means the electric field is towards the negative charge. But in case of positive charge the field is directed away from the charge.,Physics,32
32,Electric field inside a hollow conducting sphere ______,Increases with distance from the center of the sphere,Decreases with distance from the center of the sphere,Is zero,May increase or decrease with distance from the center,C,According to Gauss’s law if there is no charge inside a closed surface the field inside the closed surface will always be zero. We know the charge is distributed on the outer surface of a conducting hollow sphere because the charges want to maintain maximum distance among them due to repulsion. So there is no charge inside the sphere and hence no electric field.,Physics,33
33,Two point charges of the same polarities are hung with the help of two threads and kept close The angle between the threads will be _________ if the system is taken to space,180 degree,90 degree,45 degree,60 degree,A,There is gravitational field on earth so if we hang the two same charges there will be an interaction of vertical gravitational field and horizontal electric field. The system will achieve equilibrium by creating a certain angle between the threads and hence the vertical and horizontal components of forces will balance. But in space there is no gravity. So the charges will be at 180-degree separation.,Physics,34
34,An electron of mass m is kept in a vertical electric field of magnitude E What must be the value of E so that the electron doesn’t fall due to gravity?,m*g*e,\(\frac {e}{(m*g}\,\(\frac {(m*g}{e}\,\(\frac {1}{(m*g*e}\,C,Gravitational force on the electron is m*g (weight of the electron). Electrical force on the body is e*E. If the electron doesn’t fall then these two forces balance each other so m*g=E*e. Therefore E= \(\frac {(m*g)}{e}\).,Physics,35
35,Electric field is a _______,Scalar quantity,Vector quantity,Tensor quantity,Quantity that has properties of both scalar and vector,B,A scalar quantity is a quantity with magnitude only but no direction. But a vector quantity possesses both magnitude and direction. An electric field has a very specific direction (away from a positive charge or towards a negative charge). Hence electric field is a vector quantity. Moreover we have to use a vector addition for adding two electric fields.,Physics,36
36,Two point charges +4q and +q are kept at a distance of 30 cm from each other At which point between them the field intensity will be equal to zero?,15cm away from the +4q charge,20cm away from the +4q charge,7.5cm away from the +q charge,5cm away from the +q charge,B,The electric field at a distance of r from a charge q is equal to \(\frac {q}{4\pi\varepsilon_or^2}\). Let the electric field intensity will be zero at a distance of x cm from +4q charge so the fields due to the two charges will balance each other at that point. Therefore \(\frac {4q}{4\pi\varepsilon_ox^2}=\frac {q}{4\pi\varepsilon_o(30-x)^2}\). Solving this we get x=20cm. Therefore the point will be 20cm away from the +4q charge.,Physics,37
37,V/m is the unit of ______,Electric field intensity,Electric flux,Electric potential,Charge,A,E=-\(\frac {dV}{dx}\) where E is the field intensity V is potential and x is distance. Therefore unit of electric field intensity will be \(\frac {unit \ of \ potential}{unit \ of \ distance} = \frac {V}{m}\). Electric flux has unit V*m V is the unit of electric potential whereas charge has a unit of Coulomb or esu.,Physics,38
38,Electric field intensity at the center of a square is _____ if +20 esu charges are placed at each corner of the square having side-length as 10 cm,0,0.4 dyne/esu,2 dyne/esu,1.6 dyne/esu,A,Distance of center from each corner point of the square is = \(\frac {10\sqrt2}{2}\) = 5√2. Therefore field intensity at the center due to a single charge is = \(\frac {20}{(5\sqrt2)^2}\) dyne/esu. But the fields due to the four charges are equal and are at perpendicular to each other. So the fields balance each other and the net electric field at the center will be equal to zero.,Physics,39
39,The electric field lines diverge from _______,Positive charge,Negative charge,Dipole,Zero potential point,A,Electric field lines always converge at a negative charge and diverge from the positive charge. If a unit positive charge is kept in an electric field the path of motion of that charge is known as field lines. Now we know that a positive charge is always pushed away by another positive charge. Thus we can find the direction of field lines near a positive charge.,Physics,40
40,Two electric field lines ______,Always intersect each other,Never intersect,May intersect sometimes,Are always perpendicular to each other,B,We know that the electric field at a point is directed towards the tangent of electric field lines at that point. Now if two field lines intersect at a point two tangents can be drawn at that point. That means at a particular point there would be two separate directions of the electric field which is impossible. So we can conclude that two electric field lines never intersect each other.,Physics,41
41,Two plates are oppositely charged uniformly and kept parallel to each other at a certain distance What will be the nature of electric field lines in between them?,Circular,Parallel to each other throughout the cross section,Not uniformly distributed,Parallel and uniform in central part but fringes out at the extreme ends,D,The electric field between two uniformly charged plates is uniform. Electric field lines in the uniform electric field are parallel to each other and uniformly distributed. This phenomenon is observed in most of the parts between the plates. But in the two extreme ends the field line fringes out due to the non-uniform electric field.,Physics,42
42,Which among the following is false about electric field lines?,They are continuous,They attract each other,They remain parallel in a uniform electric field,They diverge from positive charge,B,Electric lines of force are always diverging from positive charge and they converge at a negative charge. Besides they repel each other because of repulsion between two similar charges. They remain parallel to each other in the uniform field but may divert in case of a non-uniform field. These lines are continuously stretched between two opposite charges and always try to maintain minimum length.,Physics,43
43,At ‘Electrical Neutral Point’ the lines of force _______,Are absent,Coincide with each other,Always converge,Always diverge,A,Electrical neutral point is a point in between two positive and negative charges where the electric field intensity is zero. It means that no lines of force pass through that point because electric field lines are the measure of field intensity i.e. more lines mean more field intensity. The lines never converge or diverge neither they coincide at that point.,Physics,44
44,What is the unit of electric flux?,V/m,N/m,V*m,N/Coulomb,C,Flux is equal to the product of field intensity and area of the surface. But field intensity multiplied by a length gives the unit of electric potential as E=-\(\frac {dV}{dx}\). Therefore flux also means electric potential multiplied by length. This gives us the unit V*m. There is another unit of flux N*m,Physics,45
45,Which one is the correct expression of electric flux?,∫ \(\vec{E}.d\vec{s}\,∫ \(\vec{E^2}.d\vec{s}\,∫ \(\vec{E}^{-1}.d\vec{s}\,∫ \(\vec{E}.d\vec{l}\,A,Electric flux is defined as the number of field lines crossing perpendicularly through a surface area. The number of electric field lines crossing through the unit cross-section area is known as electric field intensity (E). Therefore field lines crossing through small area ds are E.ds. Taking the integral gives the flux in the entire surface.,Physics,46
46,Electric flux will be maximum if the angle between the field lines and area vector is ______,45 degree,135 degree,90 degree,0 degree,D,We know that the electric field and area both are vector quantity and the electric flux is expressed as \(\vec{E}.\vec{s}\) (taking dot product). But if the angle between the two vectors is θ then the formula becomes E.s.cosθ.Cosθ will be maximum if theta is zero in all other cases the value of Cosθ is less than 1. Therefore flux will be the maximum if the angle is 0 degrees.,Physics,47
47,If a charge is placed outside a closed surface flux due to that charge inside the surface will be ________,Positive,May be positive or negative depending on the nature of the charge,Negative,Zero,D,According to Gauss’s principle if there is no charge bound inside a surface net electric flux coming out of the surface will always be 0. In this case the charge is kept outside the surface so it will generate no field lines and hence no flux inside the surface. The situation will be the same if an electric dipole is placed inside a surface as dipole has equal positive and negative charges; the total charge inside the surface becomes 0.,Physics,48
48,Which of the following law explains the relation between the charge inside a surface and electric flux?,Gauss’s Law,Coulomb’s Law,Faraday’s Law,Pascal’s Law,A,Gauss’s Law gives the relation between electric flux and charges inside a surface. It states that electric flux coming out from a closed surface is equal to \(\frac {1}{\varepsilon}\) times the charge inside the surface.  Coulomb’s Law explains the force between two charges and Pascal’s Law is related to fluids.,Physics,49
49,If the force acting on a point charge kept on the axis of an electric dipole is F what will be the amount of force if the distance of the point charge is doubled from the dipole?,2F,\(\frac {F}{8}\,\(\frac {F}{2}\,\(\frac {F}{4}\,B,If the distance of a point charge kept on the axis of a dipole is sufficiently large than the separation between the charges of a dipole then it can be shown that electric field E at a distance r from the dipole varies as E α \(\frac {1}{r^3}\). Now if the distance becomes 2r electric field intensity will decrease by a factor of 2,Physics,50
50,If electric field intensity at a certain distance from a dipole on its axis is E1 and at the same distance but on the perpendicular bisector of the dipole is E2 then __________,E1=E2,E1=2 E2,E1=4 E2,E1=3 E2,B,If the dipole moment of a dipole is p then electric field intensity at a distance r from the dipole on its axis will be \(\frac {2p}{r^3}\). But electric field intensity at a distance r from the dipole on its perpendicular bisector is \(\frac {p}{r^3}\). Both the formulas are derived by assuming r >> length of the dipole. Thus E1=\(\frac {2p}{r^3}\) and E2=\(\frac {p}{r^3}\) and hence E1=2 E2.,Physics,51
51,Dipole moment depends on _______,Charge only,Charge and length of a dipole,Charge length of a dipole and dielectric constant of the medium,Charge and dielectric constant of the medium,B,Dipole is defined as two equal but opposite charges kept at a small distance and having a dipole moment. The dipole moment is simply the product of the electric charge and length of the dipole. The dielectric constant of the medium doesn’t affect the dipole moment i.e. dipole moment of an electric dipole will be the same in water as well as in the air.,Physics,52
52,The electric field at a point on the perpendicular bisector of a dipole is directed ______,Along the dipole moment,Perpendicular to the dipole moment,Opposite to the dipole moment,45 degree to the dipole moment,C,,Physics,53
53,An electric dipole is placed inside a cube What will be the nature of electric flux from the cube surface?,Coming out of the surface,Coming in towards the surface,No flux at all,Coming out from one half and coming inwards in another half,C,An electric dipole consists of two point charges. The amount of charges is the same but their polarities are different. Therefore the sum of total charges in a dipole is always 0. But flux from a closed surface is related to the total charge inside a surface. As the total charge inside the cube is zero so there will be no flux coming out or going in towards the surface.,Physics,54
54,The CO,,,True,False,A,If we observe the structure of the CO,Physics,55
55,A dipole having dipole moment \(\vec{p}\) is placed in an electric field \(\vec{E}\) What will be the torque acting on the dipole?,\(\vec{p}.\vec{E}\,\(\vec{p}+\vec{E}\,\(\vec{p} \times \vec{E}\,\(\vec{p}-\vec{E}\,C,,Physics,56
56,If an electric dipole is placed in a uniform electric field ______ will act on the dipole,A force but no torque,Both force and torque,Torque but no force,No torque or force,C,Dipole is the combination of two equal but opposite charges kept at a certain distance. If it is placed in a uniform electric field both the charges will suffer the same but opposite forces on them. As a result the net force on the dipole becomes zero but due to equal and opposite forces acting on two different points there is a net torque acting on the dipole.,Physics,57
57,If an electric dipole is placed in a non-uniform electric field ______ will act on the dipole,A force but no torque,Both force and torque,Torque but no force,No torque or force,B,In the case of a non-uniform electric field the force acting on both the charges of the dipole will be unequal. So there will be a net force acting on the dipole in a certain direction. Also there will be a torque due to two forces acting at two different points. But in case of a uniform electric field the net force on the dipole will be zero but net torque will be non-zero.,Physics,58
58,An electric dipole will be in stable equilibrium if the angle between the axis of the dipole and the electric field is ________,0 degree,180 degree,90 degree,45 degree,A,Torque acting on a dipole is p*E*sinθ where E is the electric field. Now θ is 0 degree so sinθ becomes 0 and hence no torque acts on the dipole. So in this case no force or torque acts on the dipole. Therefore it will be the condition of stable equilibrium. In the case of θ=180 degree sinθ is also 0 but the condition is known as unstable equilibrium i.e. if we rotate the dipole a bit it will not come back to its initial position.,Physics,59
59,If a non-polar substance is placed in an electric field what will happen?,A net dipole moment will be observed,The substance will oscillate,The substance will orient itself perpendicular to the electric field,It will conduct electricity,A,A non-polar substance consists of a huge number of dipoles in it but they are oriented randomly and hence the net dipole moment of the substance becomes 0 and it acts as a non-polar substance. But if it is placed in an electric field the dipoles present in it will orient themselves in the direction of the field and hence a net dipole moment will be observed known as induced dipole moment. No current flow or oscillation of the substance will be observed.,Physics,60
60,A charge is distributed along an infinite curved line in space with linear charge distribution λ What will be the amount of force on a point charge q kept at a certain distance from the line?,q∫\(\frac {\lambda}{r^2}\hat{r}\dl,q∫\(\frac {\lambda}{r^2}\hat{r}\dr,q∫\(\frac {\lambda}{r^3}\hat{r}\dl,q∫\(\frac {\lambda}{r^2}\,A,Let the point charge is situated at a distance r from a small part dl on the line. The charge stored in stat small part=λ.dl. The force due to that small part will be directed towards the unit vector \(\hat{r}\). Therefore force on that charge due to the entire linear charge distribution=q∫\(\frac {\lambda}{r^2}\hat{r}\)dl.,Physics,61
61,An electric charge q is placed at one of the corner points of a cube of side a What will be the net outwards flux coming out of the cube due to the point charge?,\(\frac {q}{\varepsilon_o}\,\(\frac {q}{2\varepsilon_o}\,\(\frac {q}{4\varepsilon_o}\,\(\frac {q}{8\varepsilon_o}\,D,We can assume 8 imaginary cubes all of side a placed together sharing a common corner point and forming a bigger cube of side 2a. The point charge is placed at the common point of the cubes. According to Gauss’s Law net electric flux coming out of the bigger cube=\(\frac {q}{\varepsilon_o}\). Therefore flux coming out from each of the smaller cubes i.e. cubes of side a is \(\frac {q}{8\varepsilon_o}\).,Physics,62
62,8 electric dipoles having charges e are placed at the center of a cube The net flux coming out of the cube surface is _________,Zero,\(\frac {e}{\varepsilon_o}\,\(\frac {8e}{\varepsilon_o}\,\(\frac {16e}{\varepsilon_o}\,A,Electric dipole is the combination of a couple of positive and negative charges having the same magnitude. Therefore the total charge of an electric dipole is 0. That means the total charge inside the cube is zero and according to Gauss’s Law the net electric flux coming out of the cube is zero.,Physics,63
63,In the CGS system \(\frac {1}{\varepsilon_o}\) is replaced by _______ if k is the dielectric constant of the medium,\(\frac {4\pi}{k}\,\(\frac {2\pi}{k}\,\(\frac {1}{k}\,1,A,In the SI system Gauss law states that flux= (\(\frac {1}{\varepsilon_o}\))*electric charge. But is the CGS system the law states that flux= \((\frac {4\pi}{k})\)*electric charge [where k is the dielectric constant of the medium]. Therefore we have to replace (\(\frac {1}{\varepsilon_o}\)) with (\(\frac {4\pi}{k}\)).,Physics,64
64,A non-conducting sphere has uniform charge density in it The electric field at a point inside the sphere will be _______,Zero,Only due to the charge inside that point,Only due to the charge outside that point,Due to the entire charge of the sphere,B,In the case of a non-conducting sphere an electric charge is uniformly distributed throughout the sphere. Inside the sphere the electric field at a point will be only due to the electric charge inside that point. There will be no effect of the remaining charge outside that point. In the case of the conducting sphere the electric field at every point inside the sphere is zero.,Physics,65
65,Gauss’s Law cannot be applied in ________,Hollow sphere,Solid sphere,Cube,Unbounded surface,D,Gauss’s Law is valid only in case of a closed surface. Solid or hollow sphere cube are closed surface and so Gauss’s Law can be applied in those cases. But in case of unbounded surface there is no meaning of charge bounded by the surface and so Gauss’s Law cannot be applied in those cases.,Physics,66
66,Work done to bring a unit positive charge from infinity to a point in an electric field is known as _______,Electric potential,Electric field intensity,Electric dipole moment,The total energy of the point charge,A,Electric potential is defined as the amount of work done to bring a unit positive charge from an infinite distance to a particular point of an electric field. The total energy of that point charge means the sum of kinetic energy and potential energy which is not the same as the potential energy if the particle is in motion.,Physics,67
67,Earth’s potential is _______,Zero,Highly positive,Highly negative,Varies from place to place,A,We consider earth as the storage of infinite positive as well as a negative charge. Therefore the potential of the earth is always considered to be zero and the potential of every body is measured with respect to earth. That’s why if we connect any charged body to the earth its potential instantaneously becomes zero.,Physics,68
68,If a charged body is moved in an electric field against the Coulomb force then ________,Work is done on the body by an external agent,Work is done by the electric field,Electric field intensity decreases,The total energy of the system decreases,A,To move a body against some force work is to be done on the body. In this case an external force is to be applied on the body to move it i.e. an external work is to be done. As we are moving the body against the Coulomb’s force hence no work is done on the body by the electric field.,Physics,69
69,Electric potential due to a point charge q at a distance r from the point is _______ (in the air),\(\frac {q}{r}\,q*r,\(\frac {q}{r^2}\,\(\frac {-q}{r}\,A,Force on a unit point charge kept at a distance r from the charge=\(\frac {q}{r^2}\). Therefore work done to bring that point charge through a small distance dr=\(\frac {q}{r^2}\)*(-dr). Therefore the potential of that point is =\(\int_\alpha^r\frac {-q}{r^2}dr = \frac{q}{r}\).,Physics,70
70,Two point charges 10C and -10C are placed at a certain distance What is the electric potential of their midpoint?,Some positive value,Some negative value,Zero,Depends on medium,C,Electric potential is a scalar quantity and its value is solely dependent on the charge near it and the distance from that charge. In this case the point is equidistant from the two point charges and the point charges have the same value but opposite nature. Therefore equal but opposite potentials are generated due to the charges and hence the net potential at midpoint becomes zero.,Physics,71
71,A small charge q is rotated in a complete circular path of radius r surrounding another charge Q The work done in this process is _________,Zero,\(\frac {qQ}{4\pi \varepsilon r}\,\(\frac {q}{4\pi \varepsilon (\pi r}\,\(\frac {q}{4\pi \varepsilon (2\pi r}\,A,We know that electric potential does not depend on the path i.e. it is a state function. Therefore if we rotate a charge around another in a complete circular path the potential energy of its initial and final points is the same. Therefore there is no change of potential energy of the charge and hence net work done on the charge is zero.,Physics,72
72,Electric field intensity and electric potential at a certain distance from a point charge is 32 N/C and 16 J/C What is the distance from the charge?,50 m,0.5 m,10 m,7 m,B,Electric field due to a charge q at a distance r is \(\frac {q}{kr^2}\),Physics,73
73,Three charges –q Q and –q are placed in a straight line maintaining equal distance from each other What should be the ratio \(\frac {q}{Q}\) so that the net electric potential of the system is zero?,1,2,3,4,D,Let the distance between any two charges is d. Therefore the net potential energy of the system is\(\frac {-q*Q}{d}+\frac {-q*Q}{d}+\frac {-q*q}{2d}\). But the total energy of the system is zero. So -qQ-qQ+\(\frac {q^2}{2}\)=0 that means q=4Q i.e. \(\frac {q}{Q}\)=4.,Physics,74
74,Which one is the correct expression of electric potential on the axial point of a dipole whose dipole moment is p and length is 2l at a distance of r?,\(\frac {p}{r^2}\,\(\frac {p}{l^2}\,\(\frac {p}{(r^2-l^2}\,\(\frac {p}{2lr}\,C,Electric potentials due to the two point charges of the dipole are \(\frac {q}{(r-l)}\) and \(\frac {-q}{(r+l)}\). Therefore total potential = \(\frac {q}{(r-l)} – \frac {q}{(r+l)} = \frac {2ql}{(r^2-l^2)}\). Now 2ql = dipole moment of the dipole=p. Therefore the expression becomes \(\frac {p}{(r^2-l^2)}\).,Physics,75
75,What is the electric potential at the perpendicular bisector of an electric dipole?,Positive,Negative,Zero,Depends on medium,C,Any point on the perpendicular bisector is equidistant from both the charges of the dipole. Therefore the electric potential at that point is equal and opposite due to the two different charges. Therefore the total electric potential at that point is zero.,Physics,76
76,There are infinite number of charges each equal to ‘q’ which are placed along the X-axis at points x = 1 x = 4 x = 16 x = 64……Then determine the electric potential due to this system of charges at the point x = 0,V=\(\frac {16q}{3\pi \varepsilon_o}\,V=\(\frac {3q}{4\pi \varepsilon_o}\,V=\(\frac {4q}{8\pi \varepsilon_o}\,V=\(\frac {3q}{16\pi \varepsilon_o}\,D,We know electric potential(V) due to charge ‘q’ is V = \(\frac {kq}{r}\).,Physics,77
77,Two equal and opposite charges Q1 = 2 C and Q2 = -2C are placed at a distance of 6m from each other What is the potential at the midpoint between the two charges?,2 V,0 V,1 V,3 V,B,Electric potential is a scalar quantity. So the total potential will be the sum of all the individual charges.,Physics,78
78,The 3 charges → \(\frac {q}{2}\) -q \(\frac {q}{2}\) are placed along the x axis at x = 0 x = r x = 2 respectively Find the resultant potential at a point A located at a distance y from charge q such that r << y,V=\(\frac {4qr^2}{4\pi \varepsilon_o y}\,V=\(\frac {qr^3}{4\pi \varepsilon_o y^3}\,V=\(\frac {qr^2}{4\pi \varepsilon_o y^3}\,V=\(\frac {qr^3}{4\pi \varepsilon_o y^2}\,C,Electric potential at point A can be given by,Physics,79
79,What is the nature of equipotential surfaces in case of a positive point charge?,Circular,Spherical,Cubical,Cylindrical,B,We know that electric field lines cross the equipotential surfaces perpendicularly. Electric field lines are generated radially from a positive point charge. Therefore for holding both the conditions the equipotential surfaces must be spherical.,Physics,80
80,What will be the nature of equipotential surfaces due to a point charge situated at infinity?,Plane surface,Spherical,Elliptical,Cylindrical,A,If a point charge is situated at infinity the electric field lines coming out of it will be in the form of parallel straight lines. As we know that field lines cut the equipotential surfaces orthogonally therefore the equipotential surfaces must be plane surfaces. They can be considered the surface of a sphere of infinite radius.,Physics,81
